id,nome,estado,completo
0,Flamengo,RJ,Flamengo/RJ
1,Palmeiras,SP,Palmeiras/SP
2,Corinthians,SP,Corinthians/SP
3,Atlético,GO,Atlético/GO
4,São Paulo,SP,São Paulo/SP
5,Fluminense,RJ,Fluminense/RJ
6,Atlético Mineiro,MG,Atlético Mineiro/MG
7,Fortaleza,CE,Fortaleza/CE
8,Internacional,RS,Internacional/RS
9,Sport,PE,Sport/PE
10,Ceará,CE,Ceará/CE
11,Grêmio,RS,Grêmio/RS
12,Bahia,BA,Bahia/BA
13,Santos,SP,Santos/SP
14,Athletico Paranaense,PR,Athletico Paranaense/PR
15,America,MG,America/MG
16,Chapecoense,SC,Chapecoense/SC
17,Red Bull Bragantino,SP,Red Bull Bragantino/SP
18,Cuiabá,MT,Cuiabá/MT
19,Juventude,RS,Juventude/RS
