id,nome,estado,completo
0,Atlético Mineiro,MG,Atlético Mineiro/MG
1,Internacional,RS,Internacional/RS
2,Fluminense,RJ,Fluminense/RJ
3,Santos,SP,Santos/SP
4,São Paulo,SP,São Paulo/SP
5,Athletico Paranaense,PR,Athletico Paranaense/PR
6,Palmeiras,SP,Palmeiras/SP
7,Ceará,CE,Ceará/CE
8,Botafogo,RJ,Botafogo/RJ
9,Corinthians,SP,Corinthians/SP
10,Juventude,RS,Juventude/RS
11,Red Bull Bragantino,SP,Red Bull Bragantino/SP
12,Fortaleza,CE,Fortaleza/CE
13,Cuiabá Saf,MT,Cuiabá Saf/MT
14,Atlético,GO,Atlético/GO
15,Flamengo,RJ,Flamengo/RJ
16,Avaí,SC,Avaí/SC
17,América Fc Saf,MG,América Fc Saf/MG
18,Coritiba,PR,Coritiba/PR
19,Goiás,GO,Goiás/GO
